maxdepth,elevation_m,lake_area_m2,B2,B3,B4,B5,B6,B7,B10,B11
6.7,325.8849792,1383417.549,15914,14791,15309,16923,7414,7423,17284,16421
2,409.4250183,459508.7672,13241.5,12282.5,12662.5,14031.5,6898.5,6930,17310,16418
4,336.0100098,2845835.657,12272,10668.5,10279,10250.5,6865,6495.5,17661.5,16789.5
15,442.5139771,4225462.536,16139,15278.5,16134,17302.5,8072,7853,14693.5,14338.5
20,342.4709778,11910263.14,9977,8879,8221,8752.5,6639,6630,17639.5,16745.5
2,789.0119629,73967.71933,18415,17059,17722,18993,8619,8356,17232,16465
4,716.2030029,41625.12984,19740,18440,18633,22107,9431,9108,16512,16026
8,416.9750061,370855.2601,14648,13813,14782,16116,7796,7754,13780,13816
14.9352,226.8400726,584034.9489,12424.5,11195.5,11016,20854.5,11916.5,8828.5,19515.5,18555
5,268.8379822,909616.2769,14470,13613,14133,16681,7190,7442,17268,16675
5.182,273.1900024,173120.0041,15172,13868,14516,15107,7753,7036,16194,15824
40,421.4130249,7844282.928,10493.5,9496.5,8923.5,13290,7865,6938,14255.5,14020.5
14,458.9300232,2580208.272,15227,14155,15006,15766,8573,8654,13846,13603
5,415.4309998,323782.9555,13156,12288.5,12158,14232,7752,7679,16248,15434
3.6,330.7779846,783064.1869,9460,8994,8781,14169,10782,8361,21111,20070
22.63,291.1740112,198452.8359,13143,11276,10726,12710,6787,6944,14590,13507
4,415.7309875,73108.50358,12748,11949,12062.5,13438,7691.5,7946.5,15614,15069.5
4,453.7799988,938295.7159,10375,9455,8561,9608,6361,6211,18069,16996
1,333.0029907,2778762.971,12542,11218,11098,19221,10960,8392,17352,16751
5,388.8460083,434043.962,13268,12936,12973,13927,7542,7724,14025,13907
8,426.6650085,1382562.475,10877,10037,10101,13195,8951,7771,13645,13629
4.3,706.1196289,69954.60941,19604.5,19161,19911.5,18174.5,8063.5,7663.5,15852,15423.5
6,459.1329956,1368457.325,14543,13790.5,14455,15655.5,7416,6965.5,12571.5,12197.5
3,394.6700134,261395.333,14026,12832.5,12720.5,13833,7347.5,6969.5,14691,14352.5
1,251.8560028,203394.0774,10129,9373,8983,11142.5,7846.5,6722.5,20498.5,19201
16.166,285.0550537,34876.89177,10654,9566,9271,10782,7114,6797,21138,19416
2.1,306.3260193,3358574.33,9463.5,8789,8176,8105.5,6251.5,6049.5,20082,19058.5
3,205.7440033,219104.1261,13125,11939,11777,14562,8702,7401.5,17801,16929.5
17,447.321991,3594655.193,12410,11101,11128,13188,7919,7908,15752,15105
8,408.6399841,1269883.124,12296,11268,11536,13131,7453,7364,15078,14825
3,300.2698669,446188.6901,11365,10791,10505,11204,6887,6826,18274,17374
2,206.3989868,659352.2228,13499.5,11854,11377,14495.5,6919.5,7091.5,18255,17575
7,285.0549927,207365.3774,11201,9940,9978,11153,6883,6958,20504,18708
2.44,403.1390076,664558.1567,15226.5,14483.5,14918.5,15953,7849,7146.5,16825,15951.5
5.5,266.7530212,107045.6082,11845,10856,10669.5,10964,6701,6503,19846.5,18902
22,397.6640015,328960.8556,17826,17119.5,17234.5,21557.5,9794,9418.5,15876.5,15050.5
2,340.0130005,415679.5395,16348,15009,15836,16627,7815,7283,15305,14802
4.4,265.9393311,54089.33746,10935,10254,9770,12868,7748.5,7033.5,19072,18034
12,907.8939819,113658.8947,20352,18997,18309,20361,9468,8485,17994,16394
14,455.5830078,3027348.529,15406.5,13842,13409.5,14866.5,7863.5,8122.5,18038,16999
97,28.83799934,1134964045,17173,15650,15590.5,14400.5,9488.5,8399,16616.5,16098
8,397.3800049,66528.77193,15316,14469,15580,15818,7371,7444,13202,13137
18,422.3309937,2572372.135,13970,13025,13469,15630,7690,7693,14549,14258
6.4,474.4909973,259317.3868,14397,12676,12775,15500,7491,7496,13772,13651
4,323.5900269,1311451.607,11649.5,10591,9732,10379,6373,6239.5,17848.5,17027.5
2,542.6879883,5338002.329,13064.5,12172.5,12566.5,13509.5,7997,8036,15108,14599
10,431.5769958,107788.2984,12259.5,11421,10712.5,13362.5,7933.5,7967,17296,16043
18,593.25,97492.77112,11539.5,10684.5,10845,11543.5,7553.5,7677.5,14030.5,13874
107,288.2338257,560305.9524,13611,12323.5,12284,13811,6886,6638,18904.5,18032
30,396.4370117,57463826.52,9942,8896,8845,13144,8559,7024,15477,14856
14.2,458.6369934,2626515.543,11439,10209.5,10212.5,11038.5,7537.5,6976.5,16374,15524
4,720.7820435,42770.69199,16387,15362,15813,17712,8827,8265,16720,15753
6.1,588.2883301,31260.98113,12411,11412,11706,12417,7428,7281,13221,13195
9.7,271.9379883,4228772.673,14664,14027,14598,16289,6902,6906,17411,16697
10,492.4570007,1201275.277,12079,11006.5,11179.5,11761,7025,6971,14191.5,14006
2,334.5450134,78153.10718,11080.5,10187.5,10134.5,12924.5,7661,6904,19463.5,18344.5
4.3,344.9069824,191235.455,15765,14888,15618,16985,7136,7319,14119,13860
14.6,268.8379822,143231.4176,11611,10227,9417,12259,6746,6822,17901,17302
8,432.4250183,29618978.95,11320,10472,10370,13150,9084,7550.5,15555,15269
14,422.3340149,12745468.15,12613,11992,11815,13704,7364,7239.5,14415,14173
7,426.3861084,63569.95995,11677.5,10476.5,10615.5,11434,7461.5,7161,17180,16368.5
2,284.7539978,82303.43761,10402,9052,8830,10324,6934,6626,20011,18604
2,506.757019,170383.4047,12346.5,11253.5,11334,12300,7140.5,7090,14267,14096
8,626.3604126,37907.20698,18260.5,17298,17683.5,22808.5,11646.5,11253,14572.5,14733
5,287.7539978,98421.74696,10080,8935,8044,10046,6490,6383,20578,19311
9,320.6609802,1218519.419,14950.5,14146.5,15055,16357.5,7204.5,7112,17479,16711
2,162.6349945,88015.96909,10821,10119.5,9537,11243.5,8649,7572,18634.5,17566.5
4,507.8539734,46480.22357,17254,16235.5,15966,20948.5,11627.5,10904.5,15247,14930.5
1,419.3559875,902255.3868,11358,10587,9567,10603,6510,6469,17980,17392
1.202,288.053009,64431.59394,10632.5,9317,8451.5,9353,6312,6192.5,20114,19026
3.047,269.1450195,85014.85301,13967.5,12981.5,13149.5,14838,7450.5,7426,16453.5,15757.5
3.3528,41.27999878,68178.91799,9881,9125,8961,7978,6625,6454,19087,18302
11,196.9999695,886880.0581,12454,11101,10080,12198,6220,5895,20245,18637
6,323.7617493,406840.8692,15869,14723,14828,17490,8171,7981,14050,14208
12,408.0970154,81772.97806,13806.5,12421.5,11974,13326,7566.5,7734.5,16383,15401
7.6,398.4169922,5024824.359,10933,10103.5,10149,10927,6640,6742.5,16881.5,15959
5,411.3287659,1349683.031,16774,15505,15612,17427,7371,7345,17832,17021
2.4,491.5610046,145006.2119,13372,12652,12695,12962,7050,7005,14823,14237
5,530.1799927,315673.6021,16280,15493,16207,17066,8209,8339,13205,12978
2.134,418.3908386,854918.3442,12731.5,11953.5,11880,19275.5,10788,9045.5,17539.5,16984.5
6,332.4029846,607720.5285,10667.5,9503,9128.5,9792,6589.5,6613.5,17657.5,16742.5
3,456.8139954,1391005.499,14907.5,13974.5,14026,15244.5,8147,8155,16270,15206
28,401.0289917,6418065.383,14927,13583.5,13891.5,15129.5,8150.5,7900.5,12394,12475
10.5,401.0309753,9030327.473,14524,13488,14214,16181,7918,7700,14428,14054
14,399.1400146,3631368.358,11180.5,10097.5,10061.5,11019,6115.5,6102.5,18419.5,17156.5
30,438.7333069,391532.4581,11692.5,10619.5,10589,13480,8427,7445,14248,13750
3.5,300.8779907,1892592.352,9606,8800,7892,11430,10224,7726,21461,19811
21,435.5299988,531247.4724,11784,10657,10876,13099,8123,7867,17070,15735
15,564.3009644,57484.44089,12715,12122,12106,13853,7097,6769,14559,14206
3,451.6040039,689179.0555,11566,10477,9629,10060,6889,6644,18739,17772
13,413.2272644,4704646.332,15585.5,14594,15022,17312,6865,6664,17299,16106.5
3,239.3610077,128938.6772,11543,10624,10601,14640,10311,8018,18402,16953
2,488.4100037,154175.011,12821.5,11727,12210,13369,8006,8014,13625,13474
7.3,196.9999695,357562.4988,12248,10656,9623,11760,6061,5792,18760,17767
24,424.2569885,1933072.813,15841,14458,15059,15582,7112,7148,16132,15860
2,289.3590088,263293.5421,13222,12283.5,12118.5,12545,6845.5,6988,16678,15672.5
3,539.9829712,165335.5927,12620.5,11942,12068.5,13811.5,8317.5,7979,0,0
23,398.3260193,4525708.153,12632.5,11667,11326.5,14627.5,7925,7757,15346,14678.5
8.8,438.8070068,2034857.851,10211,9058.5,8799.5,11717,8263,6835.5,15358,15153.5
14,427.0007019,53287.0453,12294,11310.5,11535,13020,7666.5,7500,15786.5,14762.5
6,568.8890381,69282.26105,14709.5,13594.5,13655,15007.5,7722.5,7695,12715.5,12637
1.1,407.1109924,88795.82303,10914.5,9906,9267.5,12186,7126.5,7213.5,18887.5,17912
6,329.9049988,143398.4306,14502,13592,14158,15560,7595,7290,16562,16242
8,917.6981812,27770.32607,18319,17958,18912,22522,11079,10096,17741,16927
5,522.5570068,1081425.239,13331,12253.5,12384,13427,6981,6935.5,14217,13998.5
2,266.7530212,261881.256,11418.5,10104,9764.5,9840.5,6320.5,6130.5,19650.5,18502
1,419.677002,231138.9676,11927,10755,10720,14169.5,7369.5,7378.5,16722,16042
1,377.3200378,6086896.35,11081,10135,10198,11017,7202,6751,18064,16670
2,398.2799988,2649938.239,15578,14256,14821,15084,7272,7125,16370,15996
15,460.6343689,60917.19954,13935.5,13325,13939.5,17169,8088,7494,16229,15726.5
18.7,432.4300232,9393553.29,13824,12836.5,13059.5,14119.5,7321.5,7250.5,14628,14398.5
2,312.4690247,440214.415,10747,9742,9591,10116,7524,7226,16998,16599
3,326.7969971,153335.5848,17592.5,17132,17988.5,18434.5,7498.5,7528,14208,14026
5,426.3522949,3327108.651,13053.5,11560,11506,12219,7722.5,7386,14059,13867.5
2,273.1540833,55468.96274,13205,12235,11694,10672.5,6642,6596,19119,18039.5
2.745,261.5490112,275892.4605,13915.5,12535.5,12894,13092.5,7026.5,7153,16338.5,15411
6,528.9569702,41328.81049,13394,12584,12892,14266.5,6939.5,6903.5,14536.5,14275.5
5,467.6650085,109819.7535,12139.5,10885.5,10878,11476.5,6975,6877,16727.5,15779
4.5,357.8274536,6400892.671,13362,12621,12616,13935,6837,6608,18965,17602
9,431.8739929,39712.30326,12700,11841,12056.5,14721,7923,8074.5,15789,15484
12,322.2972412,104620.5648,17107,16218.5,16899,19118.5,8823.5,8555.5,14039,13792.5
14.63,361.3728638,8460147.634,12363.5,11196,10487.5,12518.5,6696.5,6733,16833,15603.5
9,382.1010132,533622.1968,19346,17487,17849,19885,7240,7148,14836,14378
2.803,278.9530029,48280.64498,10668,9755,9076.5,10296.5,7794,7326,20886.5,19367
1,289.0490112,320094.7272,12500.5,11950.5,12269,18819.5,11654.5,8751.5,16316,15856.5
3,350.3980103,57876.92532,18014,16956,17532.5,21667,11714,10349,13984.5,13786
3,296.59375,377865.2189,10894,10222.5,10424.5,18248,13219.5,9443.5,18389.5,17428.5
4.4,344,2373484.824,10652.5,9714.5,9417,10188,6771,6584,16918,16235
9.8,421.7640076,370714.4242,9628,8614,8486,10087,5853,5695,18015,17093
12.3,271.9389954,3094075.844,15049.5,13788.5,14259,16567,7698,7692,17805,17065.5
8,323.7969971,143513.9369,15827,14219,14831,15986,7709,7666,15727,15496
13,453.4300232,1188146.973,12434,10783,11144,12076,7646,7636,16796,15142
2,504.6769714,1581217.909,11016,10550,9652,7956,6112,5907,18498,17620
8,424.1090088,1199508.708,14871,14045,13702,13493,5933,5785,18045,17361
3,515.8880005,1946998.746,12814.5,12011.5,12196,13095.5,7603,7507.5,14016,13775.5
9,189.8840027,82585.04312,11705,10668,10717,12468,8169,7827,17086,16511
3,363.8210144,1397871.222,9524.5,8694.5,7747,8425,5718.5,5631,17953.5,16944
12.5,388.8460083,2657766.123,10134,9243,9041,12282,8665,7498,14320,13863
8,435.276001,130128.1847,13259.5,12377,12647,13584.5,7761,7671.5,14463,13760.5
8,413.2131653,2089897.8,11116.5,10463.5,10039.5,16173.5,9118,7374.5,19855,18655.5
2.02,500.4150696,1246828.298,12869,11861.5,12281.5,15035,9444.5,8173.5,15480,14940
1.1,302.17099,721990.9314,14651.5,13597.5,13681.5,13373,6416,6263,18201,17336
21,439.4049988,246011.6513,15529,14566,15225,16920,7824,7992,13402,13427
64,482.3970032,4845525.764,13445,12543,12286,14073,7842,7935,13291,12931
12.8,416.7222595,1184605.739,15658,14730,14887,16546,7242,7210,17878,17071
4,365.9560242,157384.8245,11236,10498,10664,12004,6915,6808,16955,16125
15.5448,222.9790039,1165184.026,14796,14042.5,14060,13264,8488.5,8020,20749.5,19206.5
12.2,242.7198792,4892778.083,10802,10443,9826,10511,7372,7036,19212,17998
3,293.348999,1418359.48,14373,13546,14072,13233,6736,6845,17248,16469
7,346.7279968,699145.8248,12253.5,11170.5,10909.5,12921,6765,6924,14885.5,14785
41.8,269.75,1093794.774,10110,9250.5,8966.5,12862.5,7891,7520,18059.5,16826.5
3.048,213.2969971,2185750.594,11241.5,10162,9781.5,9762,6603,6367,20167,18985
3.2,5.573676109,19592.5029,9113,8283,7872,14675,10789,8010,24639,22152
10.668,506.8999939,248763.545,12479.5,11870.5,11982.5,13183,7394.5,6740.5,18252,17440.5
9.39,262.1318665,2388867.009,12079.5,11530.5,11154.5,10958.5,7361.5,7058,20321.5,19195
5.1816,252.9250031,414650.5214,15103,14355,13811,13147,6888,6453,20544,18732
3.048,470.6139832,1874205.803,14370,13052,13299,14668.5,7063.5,7038.5,17531.5,16750.5
1.8,62.22549057,63678.92592,10379,9134,8200,7950,6122,5860,19590,18666
10.94,291.6714172,2815020.92,11885,10399,9914,12017,8022,7386,19799,18754
10.7,421.2039795,1618169.329,12757,11589,11970,13444,7418,7198,18054,17159
10.668,502,217791.8626,11161.5,9900.5,9811,10557.5,6449,6403,18058,17205
19.5,404.9967957,5276547.679,11326,10184.5,9294.5,10529.5,6375,6510,18276,17058
11,232.2425995,1187714.745,11892,11754,11490,19169,14545,11568,21831,20034
8.2296,309.07901,234792.7121,17539,15995,15701,19125,7099,7224,17746,17032
2.4,297.5780029,958391.5913,9813.5,9274,8633,8792.5,6182.5,5936,18997.5,18087.5
3.7,515.2559814,65552.75354,13482,12269.5,12382.5,13497,7438,6951,16437,15841.5
9,403.5340271,1144621.385,16025,14791,14801.5,16590.5,7135,7390,14516,14336.5
9.1,408.2099915,2056464.014,10011,8815,7994,8007,5763,5759,21669,20007
8.8,372.3699951,655542.904,16033,15070.5,14590.5,17627.5,7485.5,7251.5,15344,14594.5
9.7536,296.2809753,147322.4305,18370,17544,17483,16774,8043,7500,16690,16032
44.8,389.427002,483175.3601,12423,11578,11963,14792,7896,7580,15000,14555
21.3,382.4400024,1694983.231,16409,15714,16711,17100,7308,7128,14461,13807
11.8872,100.2900009,133607.9798,10301,9430,9116,8908,5907,5661,18396,17610
14.3,310.026001,1240660.19,10051,9405,9257,8308,6837,6660,17544,16814
8.8,372.651001,523546.5861,10778,10084,10310,11648,6377.5,6244.5,16862.5,15925
3.7,160.2830048,381755.944,9887,8968.5,8436.5,8910,6755,6285.5,18960.5,17432.5
2.7,455.8479919,481041.6846,11050.5,10028.5,8931.5,9475,5718,5549.5,18495,17679
1.3,1.423416018,194927.6833,9651.5,8362.5,7656,8011.5,6958.5,6457,20332,18991.5
16.764,237.5410004,1955797.794,15709,14799,14349,17063,8849,9181,19762,18700
