maxdepth,elevation_m,lake_area_m2,B2,B3,B4,B5,B6,B7,B10,B11
4.2672,260.8890381,60511.67675,13631,12378,12408,14227,8496,7383,16617,16245
4.8768,363.3044128,302994.0687,20004.5,19085,20084,21976.5,10990,10869.5,17234.5,16288
15.8496,253.1489868,1357845.956,13557,12411,12530.5,13635,7155,6919,19319.5,18119.5
8.8392,266.0679932,298580.2773,12462,11394,11640,13074,7560,7118,17153,16131
1.8288,303.0112305,392464.3367,14519,13284,13699.5,17111,9309.5,7886.5,14619.5,14482
17.4,219.0119934,205235.4874,11881,10650,10744,12248,7426,7492,17765,16986
6.096,192.3650055,3192240.529,17645.5,16579,16841.5,17845,8087,8193.5,14848,14515
2.7432,185.3240051,2646546.325,14393.5,12966.5,13399.5,14260,7813,7927.5,17150,16488.5
1.7,222.5579987,26531.53996,10663.5,9646,9545.5,11538.5,6773,6387,20214.5,18484
6.1,411.1759949,242308.4241,14890.5,13764.5,14025.5,15145.5,6999,7045.5,15073.5,14687.5
17.9832,410.0019836,11081767.15,11432,10410.5,9980,17595.5,10334,7999,17258.5,16401
4.8768,287.9190063,966498.5198,15252,14223,14014,13923,6634,6446,19069,18057
9.4488,499.2960205,3001299.956,16013,14985,15207,14991,7505,7021,17274,16840
4.572,186.5,34985526.05,14282,13186,13635,14326,7712,7792,17337,16782
32.004,431.9049988,242147.7259,13883,13274,13917,14854,8093,8017,15414,15118
5.7912,474.2769775,974654.0121,17241,16176,17306,18649,7606,7485,17225,16470
4.2672,536.8839722,184716.081,15593,14604,14699,16673,8182,8088,16614,16043
6.7,288.7099915,54826.5936,11696.5,10435,9852.5,11140.5,6792.5,6244,22032.5,20505.5
27.7,261.5450134,775208.7645,13144,11977.5,12018,13545.5,7174.5,7230,16521,15823
11.5824,358.1510925,39211.9045,14149.5,13399,14081.5,16895,7610.5,7408,17001.5,16367.5
5.4864,481.6180115,132603.1759,12517.5,11300.5,11545,12655.5,6869,6605,18246,17310
1.8288,427.5119934,263551.8169,12250,11272,11681,12848,8046,7694,17086,16099
7.9248,503.2509766,1435449.961,15421,14438,15144,16053,7539,7540,17363,16932
2.4384,478.5389709,785850.7421,14908,13946,14129.5,15505,7796,7556.5,17080.5,16452
2.7432,261.7969971,87952.38932,15423,14304,14708,15843,7410,6768,14660,14291
17.6784,495.0119934,1454603.177,16178.5,14986,15180.5,16539.5,7200,7321.5,18138,17226.5
1.1,21.50668716,88479.84271,9159,8157,7328,14285,10035,7973.5,21595.5,19908.5
11.9,276.5490112,4095137.491,10892,9575,8802,11467,6428,6628,18370,17133
8.5,340.6149902,620166.543,12509,11202,10874,11821,6534,6431,14057,13892
2.5,391.4920044,78695.04096,11322,10101.5,10173,10710.5,6182,6037,19681,18514.5
10.3632,485.2170105,579019.4314,13583.5,13040,14010,16196.5,7529,6609.5,19091,18034.5
33.5,415.7299194,742163.1482,12051,11021,10983,13133,6116,6156,21871,20355
13.4,427.6209717,422536.6702,12610.5,11309.5,10951.5,11969.5,7367,7413.5,16436,15836.5
2.7,266.8126526,584924.9088,9796,9088.5,8455,15620,11243,8218,20810.5,19421
33.5,452.230011,1435947.606,12129,11287,11244,13381,7835,7563,16614,15825
12.8,299.2565308,10541107.93,12467,11483,10699,18098,13841,10757,18353,17517
13.5,414.1679993,157365903.5,14414.5,13350,14062,14872,7503,7281,15347.5,14933
4.8768,488.3199768,320252.1596,14065,13154,13493.5,14414,7318,7296.5,12339,12397
7.0104,489.5230103,185502.4018,13231,12424.5,12743.5,13038.5,7327.5,7315,13163,13345.5
3,372.7590027,2222769.616,12196,11083,10894,12286,7191,7212,14158,13964.5
7.3,138.1182404,231525.8117,9532,8409,7723.5,7713,6623.5,6346.5,19673,18624.5
19,403.5340271,22405034.44,15001,13716,13483.5,15225,6812.5,6835,15308,14838.5
8.2296,373.2720032,238049.2564,11090.5,9583,9275,14501,10406,8997.5,18252,17499.5
10.9728,266.5814514,231369.1171,13636,12201,12353,15004,8734,8339,17301,15861
3.6576,464.2120056,153549.9007,14075,13144,13251,16048,7709,7781,17953,17246
9.144,246.7579956,599717.6257,12478,11357,11181.5,12504,7168,6923,18395.5,17562.5
15.2,440.9219971,1821914.575,13426,12338,12765,13106,7146,7164,14474,13804
13.1064,283.6409912,1325075.587,12181.5,11176,11094.5,18973.5,11595,8662,19794,18800
22.2504,302.1809998,12604054.22,10828,9699,9242,10075,6577,6717,17879,16978
4.8768,231.223999,278689.1587,12299,11511,11149.5,13371,7365,7040,17972.5,16764
1.8288,506.8109741,218663.6112,16050,15083,15243,16706,7098,7352,17529,16940
6.1,187.3109894,6879034.459,12118,11093.5,11025.5,12841,7367.5,7150,19917,18773
11,303.3680115,2953295.394,10947.5,9971.5,9102,11216.5,6721.5,6592.5,17620.5,16257
5.7912,503.6304016,122853.7507,12960,12039,12750.5,14243.5,6729,6559,17864,17052.5
2.9,451.598999,14033257.7,10772,10483,9725,11487,7838,6881,19718,18823
4.8768,508.0949707,988559.1654,13666,12934,13361,16742,9699,7740,16706,16271
7.0104,485.2170105,538994.8243,10237.5,9318.5,9153,16151,9042.5,7185.5,19796.5,18862.5
3,269.7440186,1296879.173,10083,9164,9191,10572,6363,6432,17830,17064
24.4,303.072998,1239513.21,11919.5,11235.5,10649.5,11127,6718,6678.5,17772.5,16885
2.1,247.352005,102652.1568,11207,10512,10205,15611,9155,7154,18385,17660
0.8,24.62999916,62665.61532,9038,7637,6759,7002,5672,5390,21118,19819
13,349.4519958,1343811.377,10341.5,9469,9020,10183.5,6677.5,6891.5,16677,15999.5
26.264,331.2626953,1700703.374,12595,11455,11601,10626,6667,6652,12908,12898
11.2776,252.9049988,288638.2492,13822,12454,12525,12877,8870,8941,21242,19243
13.7,444.3729858,376672.2843,13005,12113.5,12298,13238.5,7093,6982,14969.5,14062.5
1.524,249.9179993,10998692.39,13070.5,11873,12132,14417.5,8858.5,8069,14931.5,14561
7.9,363.6950073,119253.2794,13286,12130,12374,14545,7665.5,7841,15099,14616
19.2,363.5009766,1599841.216,9702.5,8884,8334,8911.5,6615,6341,17406.5,16624.5
54.9,503.3800049,2490056.442,12186,11146,11073,11775,7205,7277,11168,11351
7.3152,497.4349976,100704.2874,16571,16139,17257,18310,7723,7887,17338,16504
3.4,511.7550049,1467199.819,15750,15237.5,15584,16664,8755.5,8306,13910.5,13806
17.6784,259.5580139,532023.1186,14325,13566.5,13266,14754,7325.5,7442.5,18738,17789.5
16.5,265.3540039,350287.8404,16317,14124,14389,13924,6838,7025,14496,14359
17.1,237.9279938,612668.2495,13623,12334,12131,12092,7685.5,7407.5,18430.5,17766
5,263.7530212,144432.9077,12569.5,11912.5,11684,11740.5,6626,6608.5,18252.5,17778.5
10.9728,387.0985413,2503733.234,11813,10874,10802,15302,10239,8346,18579,17777
7,285.0740051,1024641.944,11250,10623,9729,10362,6368,6093,15077,14115
11.8872,379.9809875,506119.6443,14099.5,12896.5,13057,13457,7117.5,7069.5,17745.5,17003.5
6.096,501.6960144,250313.1212,15618,14440,14640,15853,8118,8029,16897,13599
5,394.9620056,402785.1004,12093,11212,11151.5,12282.5,7320.5,7283.5,16873,15788
9.8,272.2399902,89148.46611,10675.5,9457.5,8511.5,11665,7108.5,6895,21991.5,20324
7.9248,503.2000122,304971.6413,14255,13192.5,13422.5,13613,6231.5,5878,18984.5,17970.5
9,370,1515202.344,10495,9853,8981,15889,9466,7761,17967,16939
13.1064,207.6070099,1172753.752,14276.5,13449.5,13725,14791,8847,8558.5,14951.5,14733
12.192,286.1690063,101316.4602,17683,16811,16526,22674,8030,7990,15970,14894
7.0104,242.8239899,236953.6977,10660,9799,9706,9994,6723.5,6571.5,17339.5,16515
2.4384,379.4020081,659662.2278,12711.5,11522,11500,12473.5,6711.5,6295,19129.5,18137.5
5.7912,502.3209839,271310.5087,16485,15453,15474,16148,7678,7833,17443,16914
13.7,421.7720032,361415.861,12669,11591,11755.5,12466,7090,6969,15774.5,15292
12.192,282.1109924,237521.8306,14171,13408.5,13177,13957,6320.5,6058.5,17362.5,16398.5
1.8288,226.4530029,4697188.972,13881,13295,13842,14327,7216,7334,16709,15678
7.0104,386.9119873,50977.74606,18822,17517,17713,18962,9958,9746,16715,16061
13.716,466.3020325,1580593.37,14107,12821,13116,14001,7307,7256,14010,13746
14.6,637.1642456,55814.51544,11444,10203.5,10227,10663,6889.5,6846.5,15020,14576.5
3.8,13.75800037,94240.27867,9090,7872,7009,6492,5424,5292,21564,20191
12.8016,185.2224121,513987.7926,14419,13358,13857,14972,8473,8302,15870,15388
16.8,266.881012,365345.2744,15237.5,13895.5,13969,15121.5,8171,7675,18029.5,17092.5
1.1,347.8919983,101807.786,10593,9685,8839,12919,8574,7295,19562,18697
1.2192,352.8980103,104703.2522,14016,13082,13191.5,16388.5,10442,9689,16317.5,15268
2.9,254.2354584,30010.2219,11827,10535,9940,12645,6132,5814,21001,19523
14.3,265.8190613,21432.1231,12211.5,11086.5,10436,11746.5,6528,6220.5,19925.5,18761.5
1.6764,462.9989929,909981.0965,15050,13925,14368.5,15397,7108,6973.5,18032,17127
7.62,179.8999939,2318730.593,19679,18773,19226.5,20552.5,11545.5,11264,15961.5,14971.5
15.24,476.6950073,2282511.152,15022,13789,14187,14408,7963,7686,16995,16641
1.8288,198.7279968,840503.1394,12684,11754,11441,14141,8769,7109,9869,10199
2.7432,176.9848022,966878.0469,19378.5,17254,17678.5,19888,13382.5,12431,16160,15627.5
1.524,336.3496399,16042.38054,16003.5,15114.5,15904,17641.5,7306.5,7370,17115,16251.5
9.4,264.4952393,500884.9014,12771,11783.5,11677.5,13527.5,6935,6873,19158.5,17992
5.4864,782.8980103,194082.3564,15614,14640,15208,16657,8335,8541,16443,15685
4.6,379.9020081,268926.3993,12128,10991,10907.5,19311,11916,8922.5,19799.5,18706.5
15.24,217.3510132,6933958.706,14203,13219,13657,14028,7441,7521,15997,15505
13.716,271.1369934,788835.7566,13100.5,12261,11924.5,12321.5,6820,6403.5,20635,19031
12.2,294.151001,1031286.238,14122,13318,12756,12375,6630,6809,17500,16511
11,433.7049866,209159.2402,15551,14234,14450,15455,7133,6744,15972,15838
14.0208,197.0659943,1022084.338,17089,15566,15434.5,17015,7485,7498,19597.5,18293.5
12.192,262.632019,860634.1156,13222.5,12381.5,11904,14556.5,7660,7670,18485.5,17551.5
12.2,411.534668,308136.1818,12711,11220,11206,14307,7220,7394,17916,17124
4.6,413.5769958,123073.2157,12377.5,10970.5,10636.5,11539,7032.5,6551.5,16644,15960.5
25.6,375.108551,7151583.633,13725,12501,12154.5,13778.5,7520,7726.5,15421.5,14638.5
3.4,418.9039917,9301360.162,14803,13847,14372,15008,6877.5,6781,16324,15430.5
13.7,176.8950043,2006079.722,9523,8259,7546,7071,6424,6053,15240,14864
20.4,317.1400146,2054648.101,14635,13234,13150,14214,6975,6756,19210.5,18055
19.2024,294.8204346,557704.7061,11218.5,9837,8582.5,9387,6117,6029,23082,21326.5
4.2672,375.8909912,394675.3607,11378,10285.5,9835.5,12830,6827.5,6503,19180,18132.5
15.8,387.3110046,5612039.08,13446,12201.5,11945.5,14878,7758,7633.5,14150,13710
8.8392,384.7170105,90229.07944,12911.5,11507,11235,14542,6964,7131,18306.5,17245
4.9,463.3305054,12580101.21,11006,9922,9985,10935,6763,6819,18825,17856
6.7,199.5330658,46047.63662,8833,7851.5,7197.5,7585.5,6041.5,5543.5,22651,21007
5.4864,309.7900085,1280048.042,12025.5,11036.5,10507.5,11588,7052,6871,20916,19679.5
32,416.5739746,23027705.52,13290.5,12208,11676.5,12735,6937,6772,15566.5,14979
15.24,212.1750031,376974.0142,13730.5,12715,13199.5,14493.5,7875.5,7941,15239.5,14938
7.6,527.776001,2474830.958,13013,12031,12316,13248,9655,9545,0,0
12,364.1069946,2278210.249,12450.5,11624,11915.5,13018.5,6711.5,6648.5,15778,15248.5
1.5,271.4599304,126437.8597,10109,8526.5,7912,9053.5,6943.5,6720.5,21240.5,19491
6.096,484.9219971,317129.9893,14294,13241.5,13382,11909.5,7548.5,7050.5,18414,17457.5
3.9624,519.3920288,275013.6814,15309,14076,13608,15414,7969,7728,17376,16874
6.096,488.3201599,41945.30539,14606.5,13402.5,13584.5,15294,7673,7696,18156,17238.5
7.6,178.397995,2726995.244,13576,12310,11936,10414,9252,8870,9834,10090
9.4488,244.3209991,285617.5319,11700,10211,9491,9286.5,5843.5,5612.5,19764.5,18709.5
14.6304,281.2070007,2721314.78,18244,17497.5,17372.5,13447,7303,7127,18696.5,17751.5
13.4,408.5392151,1866678.522,10743,9416,8554,10749,6447,6183,18319,17122
8.2,274.9379883,106393.2197,13124,12510,12703,11340,6612,6601,18409,16996
2.4,282.4510193,134828.6959,11070,10006,9872,18211,11973.5,9169.5,21885.5,20229.5
7.62,236.5,993640.4457,16768,16005,17000,16291,6730,6903,16780.5,16087
10.9728,480.0769958,802097.408,12579,11580,11749,15016,8244.5,7776,12772,12854
1.2192,341.6960144,103301.7419,12154,11014.5,10808,17536,7910,7486,18205,17433
1.8288,473.0560608,1659011.163,16663,15819.5,16434,16231.5,6580,6667.5,18119,17393
4.6,336.9749756,6504581.324,10048.5,8994.5,8255,8448.5,5992.5,5707,17899.5,16997.5
7.9248,498.3629761,86669.36514,15314,14709,15123,17535,7918,7779,14831,14512
7.62,480.0589905,344350.6502,11922,10977,10640,15183,9593,7739,17340,16905
32,402.2590027,520704.705,16412,15549.5,16376.5,17605.5,7760.5,7771,14000,13949.5
6.4008,267.7810059,207268.8899,17226,16567,16531,12299,6511,5959,18439,17497
18.3,408.3400879,6489298.931,13533,12691,12021,14548,6905,7074,13532,13422
7.62,525.6929932,533468.6987,15257,14643,15511,16874,7488,7521,16338,15900
1.7,231.996109,44587.49222,10466,10013,8683,15771,9538,7375,22123,20103
12.2,406.8340149,741091.8274,11475,11004,10144,13959,6751,7011,13934,14311
2.4384,240.7419891,1531399.898,9964,8737,7950,10019,7577,6878,20176,18150
17.4,410.539978,1446250.189,10295,9294,9128,11412,7836,7285,15540,14811
7.9248,494.1011963,2739923.654,15695,14588,14731,15482,7947,8010,16488,16197
21.9456,222.9680023,291988.0656,12217,10891.5,10582.5,13209.5,7897,7173.5,21453,20081
4.7,1.164999962,56862.22618,9874,9232,8052,8805,5798,5759,22789,20772
4.3,309.544342,876715.5825,18599,17631,18328,19621.5,7499,6780,20762.5,19468.5
18.3,414.5270081,7015163.118,10041,8673,8316,12856,8743,6880,16775,16125
3.9624,97.87400055,254174.8543,19258,18111,18663,20677,10503,10292,13384,13113.5
24.9936,268.6601563,989053.5687,14589,13363,13296.5,13446.5,7707.5,7301,18201,17281.5
6.096,495.3180542,38820.78897,12544,11397,11713.5,13305,6862,6582.5,18084.5,17254.5
9.4,219.7162628,110547.0804,13357,12739,11853,15547,7222,6834,21378,20102
10.668,350.4949951,758519.2378,12037,10414,9510.5,12850,7001.5,7215.5,19640,18435.5
5.5,269.7440186,2284745.387,10236,9244,9244,14575,9510,7578,15305,14713
4.9,268.6400146,797753.3026,18369.5,17408.5,17724.5,19135,7232.5,6958,17646,16408.5
11.3,285.0499878,1206052.991,10992,9904.5,9310,11135.5,6637,6510,18921.5,17870
37.1856,177.0018005,70161291.36,13825.5,12431.5,12437.5,17958,12722.5,9135.5,17681,17099.5
7.9,454.059021,396627.3371,12649,11849,12349,13724,7153,6921,16766,15973
6.1,387.7070007,3547503.101,13826,12727,13050,14363,7651,7912,16082,15483
2.7432,225.5240021,34695992.83,11618,10285,9421,10352,6508,6583,18835,16900
22.974,331.1859741,1599330.892,11389.5,10492,10455,11841,6763,6609,17115,16280.5
21,537.2739868,3624914.597,13068,11276,11492,14440.5,7971,7745.5,13910,13832
7.62,336.8840027,523999.7989,14831,13972,14188,18653,11968,8214,19377,18568
9.4,244.5641174,986310.2245,11823,10935,10768,9530,6544,6072,21149,19732
2.7432,243.0899963,1916916.741,13672,12955.5,13350,19661.5,14691,10953,20667,19031
29,180.037796,7243758.753,15283.5,14287,14824,15442.5,9551.5,8927,18135.5,16931.5
9.1,286.4299927,289360.5158,11045,10055.5,9678.5,15569,11420,8851,20573.5,18681
22.2504,422.7849731,566309.3794,14660,13598,14297,16221,8815,8749,16276,15552
7.3,394.6100159,1022646.965,15935,14004,14195,16941,7437,7562,15528,15062
1.8288,147.414505,471276.4017,13067,12360,12384,13636,7626,7366,18051,17096
1.8288,428.9389954,83555.24378,16090,14653,15378,16981,7946,7308,18973,17846
14.0208,242.2650146,1201956.928,14982,14437,15388,17841,7411,7005,19823,18005
5.7912,480.1210022,94648.53221,11157.5,10173,10050.5,13997,8308,6899,12347.5,12380.5
7.0104,356.6220093,68852.1962,16406,15575,16242,17445,7404,7264,14603,14409
9.1,302.84198,4805439.93,12515.5,11792.5,11416.5,11544.5,6186,6016,20270,19013
18.288,176.8999939,1806476.179,16443,15151,15172.5,16723,10803.5,10709,16822,15993
5.4864,363.8452148,3535677.189,15755,14926.5,15038.5,15604,7461.5,7346,18000.5,17150
16.764,268.7639771,2954956.17,12193,11349,10668,12392,6674,6859,18204,17387
3.3528,244.4329987,4309156.496,11116,10040,9936,10909,7010,7255,17510,16633
10.4,311.9179993,1434915.026,10373.5,9885.5,9256,10775.5,6685,6538.5,17835.5,16919
6.1,422.4239807,548226.6947,12173,11363,11569,12719.5,7462,7329.5,14933.5,14375.5
9.8,268.5518494,160906.9615,12821,11895,11055.5,15549,6567.5,6470,20774,18805
25.908,510.4960022,392986.4091,12132,11184,11346,12878.5,8008.5,6748,18517,17652
1,16.27022362,1032646.948,8779,7460.5,6815.5,6557,5548.5,5357,20981,19395
21,401.8985596,17093072.19,11174,10499,9784,11674,6252,6312,22054,20118
7.0104,268.7009888,170438.4426,14203,13011,13237.5,15159.5,7646.5,7269.5,20257,18384.5
7,344.9710999,1327693.687,12447,11035,11158,11210,7408,7124,19510,18429
18.9,260.2479858,804343.1264,12434,12083,11164,13641,7287,7174,17282,16757
12,325.5490112,3775760.84,9386,8397,8149,7692.5,5865,5653.5,20236.5,18858.5
7.0104,205.6069946,238026.3952,16810,16423,16400,15450,9472,8158,19812,18377
8.2,493.1849976,190599.879,15552,14745.5,15592.5,14999,7323,7348.5,18360.5,17515.5
6.9,587.5650024,803453.0862,12074,10984,10798,12915,6754.5,6751,15131,14586
7.0104,495.0119934,1888109.411,13076,12186,11966,12345,6718.5,6375,18073,17167.5
17.4,375.0879822,522818.9537,15401,14111,14343,17092,9594,7469,14253,14207
13.1,296.3799744,239767.4154,13432,12606,12957,12383,7192,7427,12465,12303
11.6,285.1109924,372954.7108,11336,10787,9759,11448,6758,6609,17346,15638
4.572,512.3909912,63737.94549,14012,13121.5,13095.5,13255,7520.5,7402.5,17273,16768
2.1,204.8040009,75519.40383,12460,11406,11136.5,12437.5,6642,6508.5,18047.5,17067
1.1,281.6640015,40772.47255,10639,9607,8814.5,11263.5,7093,6578.5,21210.5,19603
9.7536,423.67099,301812.5153,14703,14437,14631,18834,10204,8151,17957,17370
1.8288,188.8409882,244607.843,11716,10307,10119.5,17467.5,9664.5,7301.5,19620.5,18414.5
7.6,483.1670227,117195.8332,14242.5,13037,12900,12879.5,7220.5,7176,17923.5,17106
10.668,540.4348755,73439.81831,18292,17344,18307,19889,8137,7806,17504,16859.5
2.7432,227.6640015,18334159.81,11661,10262,9432,10585,7024,6608,16615,15857
8.5,171.9949951,57449.95493,10883,9697,9836,12137,6101,6027,21133,19643
13.716,335.1029663,317136.4627,15336,14463,14846.5,15842.5,7901,7747,18497.5,17573.5
7.62,496.2020264,709361.7672,14473,13330,13340,14212,7661,7690,17687,16767
7,514.0680542,2113153.736,10335,9205,8711,12623,8760.5,7200,14360.5,14179
18.5928,255.3899994,492523.7399,11260,10285.5,9871.5,10777,6904,6506.5,17852,16907
23.2,473.2990112,881356.9579,11783,10954,11357,13823,8338,7926,13810,13653
15.24,185.9570007,40931666.11,14562.5,13734.5,13776.5,12614,8351,8032.5,13626.5,13436.5
2.4384,314.8869934,124314.692,16866,15850,16730,22888,10817,9400,17711,16988
7.3152,421.2090149,268569.0107,19156,17792,18237,19860,8385,8327,15969,15589
3.2,233.0099945,60365.53908,9845,8350,7419,9095,6024,5649,21309,19541
10.1,333.0010071,880593.714,13749,12701,12998,13325,6883,7004,16085,15113
6.096,489.2180176,266180.6126,11318.5,9958.5,9936.5,10092,6715.5,6396.5,17775,16973.5
15.5,248.3079987,200669.2742,16429.5,15575,15053.5,20360.5,10164.5,9766.5,19403.5,18148
21.6,411.072998,3662670.897,14216,12916,12903.5,11728,6901.5,6901,16019.5,15383.5
10.7,517.9030151,260509.9113,15497,14382,14950,16787,8346,8123,17049,16392
12.8,257.9126587,538661.8364,13523.5,12777,12700,12434,7064.5,6523,22293.5,20114.5
7.6,143.1920013,529952.262,9664,8876,8689,16798,11044,7436,22341,20823
12.68,239.3524017,4700507.952,10591,9658,9692,20565,11834,8307,17206,16628
7.75,270.757019,223838.1483,16842,15469,14972,18038,6514,6732,17463,16803
7.3152,235.8699951,29149473.3,12286,11694,12103,17129,12652,9549,19007,17901
9,314.71698,619379.4542,10349.5,9348,8814.5,10093.5,6860.5,6849,17715.5,16791.5
17.4,397.1658936,7353076.799,13680,12605,12811,13468,7898,7486,16875,15607
18.5928,245.8906097,206486.6164,11890,10518.5,10205.5,10524.5,6794.5,6664,19586,18434
4.8,424.8880005,55901.43388,13154.5,11996,12419.5,12857,7331,7235.5,17543,16702
21.6408,255.3849945,736834.9308,15958,15280,16101,17534,7253,7441,16709,16029
20.7,388.8710022,2785746.067,12648.5,11582,11851.5,12491,7337,7379,14333.5,14086.5
10.4,269.4500122,1600530.254,10259.5,9212,8649.5,16493.5,11208,8111.5,22258,20282
7.62,248.2559967,1198892.494,15131,13636,13897,12616,5816,5621,18242,17520
9.4488,176.8990021,741408.6873,14824,13010,13259,13110,8049.5,7182.5,16556,15979
24.4,540.5500488,1139871.173,13448,12408,12768.5,13774.5,7947,7934,13772.5,13499.5
8.8,176.3910065,496061.4536,8781,7541,7002.5,6455.5,5371.5,5194,24469,21705
14.3256,302.8529968,6885960.402,10958.5,9991.5,8829,17759,9907.5,7366.5,21904,20043
2.5,300.6263123,46995.14905,12107,10971,11224,13687,6815,6799,18903,17846
2.4,274.6925964,322563.5334,9644.5,8625.5,7653,11305.5,7353,6643,21782.5,20018
11.5824,461.20401,3904154.092,11188,10220,10114,16035,9942,8339,16231.5,16020
30.48,490.3829956,1100605.288,14432,13362,13623,14411,8346,8333,17036,16679
1.8,1.691640139,115028.4254,9969,8854,8168,12093,8471,7196,20469,19291
2.44,20.65999985,151227.608,8542,7202,6420,6204,5364,5198,21334,19844
12.2,385.4880676,2433143.373,15042,14036,14588,15661,7145,7195,14431,14135
1.8,16.93561172,70979.0695,9344,8605,7466,8522,6016,5517,22459,20391
10.668,356.6229858,431682.0992,12804.5,12272.5,11891,13006,8073.5,7451,19349.5,18224
9.144,325.8959961,178539.0516,14183.5,13364.5,13106,17053,8539.5,8087.5,15190.5,14820.5
7.6,390.3439941,1650028.915,11286.5,10272.5,9761,15690,9098.5,7649,15883.5,14838.5
4.572,362.9039917,105594.7673,20032,18999,19083,23907.5,10771.5,10112.5,16297,15804
1.2192,489.2250061,341024.2991,14653,13346.5,13813.5,12770.5,6761,6818.5,18234,17389
5.03,342.3380127,448812.6819,16073.5,15056.5,15942,16910,7271.5,7308.5,15965.5,15635
14,289.0490112,948201.6261,13926,12500,12088.5,14008,6942.5,7028.5,17643.5,16848.5
15.8496,284.3890076,313229.3383,11056,9789,8918.5,10370.5,7150,6367,22349.5,20685.5
31.1,302.4629822,760488.8281,12271.5,11140.5,11239,11666,6821.5,6799,17696,16641
5.7912,355.0809937,44016.46696,15862.5,15138.5,15435.5,17374,7590,7737,18085,17034.5
4,169.8957825,304451.575,9151.5,8309.5,7308,6605.5,5424.5,5290,21329,19903.5
23.5,263.7260437,2217140.622,13831.5,13501.5,13464.5,14508.5,7663.5,7328.5,16437,15623.5
5,230.2672424,1258893.561,9628,8816,8973,17590,11179,7950,18536,17209
3.3528,173.5879974,185352.6108,15832,14724,14763.5,18537,9878,9645.5,14631,14334.5
3.048,476.1190186,833391.7179,16822,15737,16198.5,15930,7124,6898.5,18066.5,17225.5
7,331.7669983,517691.4293,13972,13198,13769,14630,7127,7286,16633,15697
85.344,436.0649719,28589417.17,14527,12948,12633,14587.5,8045,8221.5,13703,13527
7.62,392.9119873,10740394.3,15325,14178.5,13951,13519,7073,7003.5,18219,17375
3.6576,281.2070007,2024884.856,14580,13226,12639.5,23664,13755.5,9785.5,20835,19653
6.7056,411.875,378121.0989,20474,19652,20008,18004,9090,9356,13108,13221
24.4,273.3189087,355821.3457,15167.5,14308,14243.5,16173,6956.5,7031.5,21103,19122.5
3,547.8380127,1891434.7,12654,11598,11757,12711.5,8331,8450.5,13691.5,13652.5
15.2,255.99263,469241.9749,11516,10701,9322,9647.5,6241,6082.5,21725.5,19848
12.4968,207.5480042,1395999.72,12212,10709,10312,15379,10989,8777,20510.5,18886
3.048,529.9829712,832533.8983,15226,14410,15052,15450,8805,8635,17166,16730
6.7,372.6669922,634566.3381,14823,13160,13055,16541,6964,7160,15116,14709
8,383.0939941,988877.5322,13665.5,12237,12456,13188,7135.5,7158.5,14940.5,14397.5
3.3528,506.2920227,649583.5728,14534,13661,13967,13134,7528,7692,17206,16825
7.3152,289.862854,199906.9728,11619.5,11128.5,11344,14902,8541.5,7647,19537,18523.5
7.9,364.1159363,981968.2417,12353.5,11413,11225,12789.5,6717,6491,16595,15924
5.5,336.0499878,10483835.83,10162,9342,8323.5,7578,5863.5,5697.5,18293.5,17326.5
5.4864,134.4729156,143988.4472,11553,10383,10067.5,12125,7469,7320,18509,17102.5
10.1,265.6790771,32433.91141,13454.5,11976.5,11226.5,12649.5,7005.5,6897,21043,18603
22.9,386.5857544,2881465.819,16245.5,15530.5,16093.5,16684,6542,6479,19952.5,18540.5
23.5,230.8929901,2736542.45,15873.5,14675.5,15152,16244,7953,7907,17787,17163
2.4384,378.4020081,997323.0848,14679.5,13575,13860,13866.5,7831,7392.5,18869.5,17937.5
7.9,290.5,213667.4297,10512,9369.5,8362,9887,6906.5,6383,22333.5,20131.5
10.7,413.1960144,592516.5029,11599.5,10538,10544,10950.5,7256,7017.5,15476.5,15086.5
30.48,209.0159454,18534221.24,11295,10096.5,10247,17437,11687.5,8581.5,19439,17140
13.716,444.0849915,1047145.294,16026.5,14773,15227,15703,7930.5,7759.5,17029.5,16451.5
1,396.8269958,8770453.387,16076,15053.5,16082.5,17055,7981.5,7899,14493.5,14353.5
7.6,396.7399902,2828361.082,13316,12513,12277,13757,7744,7681,15723,14980
8.8392,176.9848022,1771280.458,15559.5,14625.5,14579.5,17488,12997.5,10075.5,18584,17416.5
11,273.0828857,134941.3058,14426,13483,13379.5,14945,6814,6826,21552,19826
2.1336,185.2130127,62920.93492,20474.5,19126.5,19082.5,23320.5,10916,10296,14699.5,14296.5
10.4,286.6199951,546493.4741,9667.5,8278.5,7256.5,7168.5,5792,5675,22221.5,20301.5
7.3,183.9750671,74592.58963,9234.5,7823,7036.5,7638,5971.5,5536.5,22134,20584.5
11.98,245.8943481,5139650.929,12492,11421,11515.5,18950.5,11489,8068,16797.5,16318
16.764,206.5169983,478276.234,13961,12182,11467,14957,7508,7506,20680,19418
5.1816,340.1308289,24013.93675,16820.5,16139,16867,18359.5,7522.5,7529.5,16925.5,16300
12.2,264.7101746,176283.0106,16205,14454,15258,16247,7525,7337,19733,18373
2.5,30.26199913,159977.4361,9301,8651,8467.5,14720,12075,8937,22025,20243.5
5.2,506.3190002,336876.0741,11990,10877.5,11074,11908.5,7718,7626,15698,15196
10.1,291.8800049,493874.8805,10607,9650,9027,17789,11430.5,7993,20676.5,19394
